subject_code,subject_name,semester,credits
CS101,Introduction to Computer Science,1,4
CS102,Programming Fundamentals,1,4
MATH101,Calculus I,1,3
ENG101,Technical Writing,1,3
CS201,Data Structures,2,4
CS202,Object-Oriented Programming,2,4
MATH201,Discrete Mathematics,2,3
PHYS101,Physics for Engineers,2,3
CS301,Database Management Systems,3,4
CS302,Computer Networks,3,4
CS303,Operating Systems,3,4
MATH301,Linear Algebra,3,3
CS401,Software Engineering,4,4
CS402,Web Technologies,4,3
CS403,Computer Architecture,4,4
AI101,Introduction to AI,4,3
CS501,Machine Learning,5,4
CS502,Deep Learning,5,4
CS503,Natural Language Processing,5,3
DS101,Data Science Fundamentals,5,4
CS601,Cloud Computing,6,3
CS602,Big Data Analytics,6,4
CS603,Cybersecurity,6,3
AI201,Advanced AI,6,4
CS701,Distributed Systems,7,4
CS702,Mobile Application Development,7,3
CS703,Blockchain Technology,7,3
ML201,Advanced Machine Learning,7,4
CS801,Final Year Project I,8,6
CS802,Internship,8,4
